Date,Alpha,VaR_HS,ES_HS,VaR_EW,ES_EW,VaR_Deep,ES_Deep,PnL
2021-04-08,95,0.022768232054077086,0.04672991926580346,-0.008234742249582488,-0.009724186591900967,0.05116459801793098,0.055852957,0.018367267771827758
2021-04-08,99,0.0477248481651768,0.10892653607297688,-0.01066390450778476,-0.01187178167260986,0.056139535866677755,0.06411961,0.018367267771827758
2021-04-09,95,0.022768232054077086,0.04672991926580346,-0.008237979056206773,-0.009727569969043086,0.001261715212604031,0.006810772,-0.002237292448990047
2021-04-09,99,0.0477248481651768,0.10892653607297688,-0.010667380358970814,-0.011875376386365329,0.009891178151592612,0.01620249,-0.002237292448990047
2021-04-13,95,0.022768232054077086,0.04672991926580346,-0.008180473966055278,-0.009669599541461666,0.003301774465944616,0.0040543396,0.0263767579337582
2021-04-13,99,0.0477248481651768,0.10892653607297688,-0.010609116341419356,-0.011816734999589943,0.004386867885477841,0.005073719,0.0263767579337582
2021-04-14,95,0.022768232054077086,0.04672991926580346,-0.008329640601772756,-0.009822107623999357,0.011141958134248852,0.012559345,0.010164669569348918
2021-04-14,99,0.0477248481651768,0.10892653607297688,-0.010763732604405767,-0.011974061036414112,0.013483626861125229,0.014240886,0.010164669569348918
2021-04-15,95,0.022768232054077086,0.04672991926580346,-0.008398451821622866,-0.009890660507881639,-0.0010692635842133318,-0.00038166318,0.008192530949600041
2021-04-15,99,0.0477248481651768,0.10892653607297688,-0.010832122499359631,-0.012042241431685759,-0.00013269272632897164,0.0010084235,0.008192530949600041
2021-04-16,95,0.022768232054077086,0.04672991926580346,-0.00837007272063621,-0.009861495970541784,0.0007233565585920588,0.0013177961,-0.013146012066863479
2021-04-16,99,0.0477248481651768,0.10892653607297688,-0.01080246241573321,-0.012011944391975452,0.0015881470649037506,0.0025024521,-0.013146012066863479
2021-04-20,95,0.022768232054077086,0.04672991926580346,-0.008097430825311478,-0.009578090600590703,-0.005558989173732699,-0.004851527,0.019907396752387285
2021-04-20,99,0.0477248481651768,0.10892653607297688,-0.010512266171053771,-0.011713019418839395,-0.004498400357551873,-0.003625997,0.019907396752387285
2021-04-21,95,0.022768232054077086,0.04672991926580346,-0.00818533904930358,-0.0096681536264506,2.8378699971653558e-05,0.0017319588,-0.007298318360699341
2021-04-21,99,0.0477248481651768,0.10892653607297688,-0.010603688701168255,-0.011806189403287608,0.0024772290000691995,0.0043102563,-0.007298318360699341
2021-04-22,95,0.022768232054077086,0.04672991926580346,-0.008171305014069243,-0.009654545716364905,0.007188813714310527,0.0086761275,-0.005048090644413606
