Date,AGG,BTC,ETH,EURUSD,GBPUSD,USDJPY,SP500
2023-01-12,92.39017486572266,18869.587890625,1417.9384765625,1.0766000747680664,1.2159533500671387,131.90199279785156,3983.169921875
2023-01-13,92.04930114746094,19909.57421875,1451.6148681640625,1.0860239267349243,1.2217769622802734,129.1719970703125,3999.090087890625
2023-01-14,,20976.298828125,1550.7069091796875,,,,
2023-01-15,,20880.798828125,1552.4794921875,,,,
2023-01-16,,21169.6328125,1576.83349609375,1.082461953163147,1.2226732969284058,128.0260009765625,
2023-01-17,91.88348388671875,21161.51953125,1567.8460693359375,1.0830129384994507,1.2207776308059692,128.3209991455078,3990.969970703125
2023-01-18,92.79550170898438,20688.78125,1515.5069580078125,1.0793308019638062,1.228471040725708,128.281005859375,3928.860107421875
2023-01-19,92.58363342285156,21086.79296875,1552.5565185546875,1.0797853469848633,1.2347661256790161,128.53900146484375,3898.85009765625
2023-01-20,92.20591735839844,22676.552734375,1659.754150390625,1.083388328552246,1.2393262386322021,128.3699951171875,3972.610107421875
2023-01-21,,22777.625,1627.1181640625,,,,
2023-01-22,,22720.416015625,1628.382080078125,,,,
2023-01-23,91.9756088256836,22934.431640625,1628.2510986328125,1.086507797241211,1.240633249282837,129.35400390625,4019.81005859375
2023-01-24,92.38096618652344,22636.46875,1556.604248046875,1.0874292850494385,1.2379761934280396,130.5970001220703,4016.949951171875
2023-01-25,92.49150848388672,23117.859375,1611.7110595703125,1.088814616203308,1.232923984527588,130.23899841308594,4016.219970703125
2023-01-26,92.33489990234375,23032.77734375,1603.10595703125,1.0922038555145264,1.2412492036819458,129.23699951171875,4060.429931640625
2023-01-27,92.19671630859375,23078.728515625,1598.156494140625,1.0894432067871094,1.2415266036987305,129.8000030517578,4070.56005859375
2023-01-28,,23031.08984375,1572.43505859375,,,,
2023-01-29,,23774.56640625,1646.1556396484375,,,,
2023-01-30,91.94798278808594,22840.138671875,1567.3265380859375,1.0871455669403076,1.2400301694869995,129.85400390625,4017.77001953125
2023-01-31,92.32569122314453,23139.283203125,1586.535400390625,1.0850694179534912,1.2353609800338745,130.47900390625,4076.60009765625
2023-02-01,92.97675323486328,23723.76953125,1641.792724609375,1.0860947370529175,1.2308903932571411,130.11000061035156,4119.2099609375
2023-02-02,93.0783462524414,23471.87109375,1643.2415771484375,1.1012852191925049,1.2390038967132568,128.6219940185547,4179.759765625
2023-02-03,92.18254852294922,23449.322265625,1664.74560546875,1.0905125141143799,1.222299575805664,128.74600219726562,4136.47998046875
2023-02-04,,23331.84765625,1667.0592041015625,,,,
2023-02-05,,22955.666015625,1631.6458740234375,,,,
2023-02-06,91.67461395263672,22760.109375,1616.2470703125,1.079086184501648,1.2045146226882935,132.00900268554688,4111.080078125
2023-02-07,91.51763916015625,23264.291015625,1672.0035400390625,1.0730764865875244,1.2026747465133667,132.6230010986328,4164.0
2023-02-08,91.64692687988281,22939.3984375,1650.716796875,1.0729728937149048,1.2054582834243774,131.04200744628906,4117.85986328125
2023-02-09,91.28675842285156,21819.0390625,1546.438232421875,1.0715816020965576,1.2071462869644165,131.38699340820312,4081.5
2023-02-10,90.88965606689453,21651.18359375,1514.869140625,1.0742292404174805,1.2116806507110596,131.5189971923828,4090.4599609375
2023-02-11,,21870.875,1539.9267578125,,,,
2023-02-12,,21788.203125,1515.03369140625,,,,
2023-02-13,91.16671752929688,21808.1015625,1507.1658935546875,1.0677714347839355,1.2052258253097534,131.55099487304688,4137.2900390625
2023-02-14,90.84349822998047,22220.8046875,1556.8751220703125,1.0730419158935547,1.215214490890503,132.33700561523438,4136.1298828125
2023-02-15,90.66801452636719,24307.841796875,1673.7459716796875,1.0735719203948975,1.2174336910247803,132.99099731445312,4147.60009765625
2023-02-16,90.28939056396484,23623.474609375,1640.067626953125,1.0691757202148438,1.2039779424667358,133.9029998779297,4090.409912109375
2023-02-17,90.50179290771484,24565.6015625,1694.7833251953125,1.0665756464004517,1.197533130645752,134.07400512695312,4079.090087890625
2023-02-18,,24641.27734375,1691.8194580078125,,,,
2023-02-19,,24327.642578125,1681.4361572265625,,,,
2023-02-20,,24829.1484375,1702.6751708984375,1.0684444904327393,1.2029786109924316,134.3070068359375,
2023-02-21,89.65217590332031,24436.353515625,1658.036376953125,1.068261981010437,1.2039200067520142,134.33599853515625,3997.340087890625
2023-02-22,89.89229583740234,24188.84375,1643.231689453125,1.065200924873352,1.2109322547912598,134.9759979248047,3991.050048828125
2023-02-23,90.21550750732422,23947.4921875,1651.0738525390625,1.0605803728103638,1.204993486404419,134.9320068359375,4012.320068359375
2023-02-24,89.6983642578125,23198.126953125,1608.3731689453125,1.0598047971725464,1.2017786502838135,134.6280059814453,3970.0400390625
2023-02-25,,23175.375,1594.9149169921875,,,,
2023-02-26,,23561.212890625,1640.817138671875,,,,
2023-02-27,89.87381744384766,23522.87109375,1634.326416015625,1.0554758310317993,1.1952428817749023,136.39500427246094,3982.239990234375
2023-02-28,89.86457824707031,23147.353515625,1605.8951416015625,1.0611205101013184,1.2061562538146973,136.31700134277344,3970.14990234375
2023-03-01,89.34989166259766,23646.55078125,1663.4337158203125,1.0577309131622314,1.2033549547195435,136.34800720214844,3951.389892578125
2023-03-02,89.16472625732422,23475.466796875,1647.3193359375,1.066894292831421,1.2029930353164673,136.19400024414062,3981.35009765625
2023-03-03,89.8682861328125,22362.6796875,1569.1676025390625,1.0599732398986816,1.1951572895050049,136.7050018310547,4045.639892578125
2023-03-04,,22353.349609375,1566.9239501953125,,,,
2023-03-05,,22435.513671875,1564.46875,,,,
2023-03-06,89.64613342285156,22429.7578125,1567.398681640625,1.0626201629638672,1.2028483152389526,135.86000061035156,4048.419921875
2023-03-07,89.52576446533203,22219.76953125,1561.93310546875,1.0688328742980957,1.2026457786560059,135.99899291992188,3986.3701171875
2023-03-08,89.4332046508789,21718.080078125,1534.0882568359375,1.05507493019104,1.1827740669250488,137.39100646972656,3992.010009765625
2023-03-09,89.75720977783203,20363.021484375,1438.6607666015625,1.0549525022506714,1.1850166320800781,137.2259979248047,3918.320068359375
2023-03-10,90.80326843261719,20187.244140625,1429.1580810546875,1.0584698915481567,1.192250370979309,136.39500427246094,3861.590087890625
2023-03-11,,20632.41015625,1482.61669921875,,,,
2023-03-12,,22163.94921875,1590.29296875,,,,
2023-03-13,91.52532196044922,24197.533203125,1680.3089599609375,1.0683646202087402,1.2079336643218994,134.97999572753906,3855.760009765625
2023-03-14,90.9884033203125,24746.07421875,1703.507080078125,1.0725010633468628,1.2171372175216675,133.11399841308594,3919.2900390625
2023-03-15,91.89559173583984,24375.9609375,1656.1805419921875,1.0727657079696655,1.215214490890503,134.39700317382812,3891.929931640625
2023-03-16,91.53458404541016,25052.7890625,1677.2154541015625,1.0583354234695435,1.20692777633667,132.9290008544922,3960.280029296875
2023-03-17,92.10852813720703,27423.9296875,1792.485107421875,1.0614134073257446,1.2110495567321777,133.3679962158203,3916.639892578125
2023-03-18,,26965.87890625,1761.65966796875,,,,
2023-03-19,,28038.67578125,1785.5765380859375,,,,
2023-03-20,91.73822784423828,27767.236328125,1735.3212890625,1.0678855180740356,1.2187690734863281,132.28399658203125,3951.570068359375
2023-03-21,91.46053314208984,28175.81640625,1806.7607421875,1.071914792060852,1.2276264429092407,131.39199829101562,4002.8701171875
2023-03-22,92.3399429321289,27307.4375,1737.717041015625,1.0774236917495728,1.2225087881088257,132.34800720214844,3936.969970703125
2023-03-23,92.56211853027344,28333.97265625,1816.4051513671875,1.0870392322540283,1.227973222732544,131.1790008544922,3948.719970703125
2023-03-24,92.71949768066406,27493.28515625,1752.0447998046875,1.0835057497024536,1.228154182434082,130.86500549316406,3970.989990234375
2023-03-25,,27494.70703125,1743.7647705078125,,,,
2023-03-26,,27994.330078125,1775.6767578125,,,,
2023-03-27,91.71971130371094,27139.888671875,1715.4608154296875,1.077818512916565,1.2246003150939941,130.8459930419922,3977.530029296875
2023-03-28,91.58086395263672,27268.130859375,1772.78564453125,1.0807071924209595,1.229755163192749,131.23300170898438,3971.27001953125
2023-03-29,91.69195556640625,28348.44140625,1793.0018310546875,1.0839520692825317,1.2330456972122192,131.04600524902344,4027.81005859375
2023-03-30,91.79378509521484,28033.5625,1792.7371826171875,1.0843634605407715,1.2313603162765503,132.5760040283203,4050.830078125
2023-03-31,92.23811340332031,28478.484375,1822.0220947265625,1.0904649496078491,1.2387275695800781,133.2010040283203,4109.31005859375
2023-04-01,,28411.03515625,1813.860595703125,,,,
2023-04-02,,28199.30859375,1795.7081298828125,,,,
2023-04-03,92.63903045654297,27790.220703125,1810.297119140625,1.0803335905075073,1.228697419166565,133.3470001220703,4124.509765625
2023-04-04,92.982421875,28168.08984375,1871.005126953125,1.091226577758789,1.2423131465911865,132.2989959716797,4100.60009765625
2023-04-05,93.2979507446289,28177.984375,1909.114013671875,1.0960105657577515,1.249843716621399,131.48500061035156,4090.3798828125
2023-04-06,93.21443939208984,28044.140625,1872.922607421875,1.090334177017212,1.2463078498840332,130.9340057373047,4105.02001953125
2023-04-07,,27925.859375,1865.6361083984375,1.0920130014419556,1.243900179862976,131.66900634765625,
2023-04-08,,27947.794921875,1849.4981689453125,,,,
2023-04-09,,28333.05078125,1859.3878173828125,,,,
2023-04-10,92.57408142089844,29652.98046875,1911.20751953125,1.0913575887680054,1.2431625127792358,132.0970001220703,4109.10986328125
2023-04-11,92.62975311279297,30235.05859375,1892.189697265625,1.086932897567749,1.239218831062317,133.468994140625,4108.93994140625
2023-04-12,92.74112701416016,30139.052734375,1920.68212890625,1.0917507410049438,1.2431007623672485,133.593994140625,4091.949951171875
2023-04-13,92.70398712158203,30399.06640625,2012.6346435546875,1.0999890565872192,1.2492660284042358,133.0850067138672,4146.22021484375
2023-04-14,92.24925994873047,30485.69921875,2101.635498046875,1.1054610013961792,1.2525300979614258,132.48699951171875,4137.64013671875
2023-04-15,,30318.49609375,2092.466796875,,,,
2023-04-16,,30315.35546875,2120.005859375,,,,
2023-04-17,91.78522491455078,29445.044921875,2076.242919921875,1.098659634590149,1.2400178909301758,133.9709930419922,4151.31982421875
2023-04-18,91.9151382446289,30397.552734375,2104.537353515625,1.0925379991531372,1.2375471591949463,134.4250030517578,4154.8701171875
2023-04-19,91.77592468261719,28822.6796875,1936.4034423828125,1.0975382328033447,1.2425447702407837,134.04400634765625,4154.52001953125
2023-04-20,92.19356536865234,28245.98828125,1943.09765625,1.095218300819397,1.2428845167160034,134.70399475097656,4129.7900390625
2023-04-21,92.03580474853516,27276.91015625,1849.9998779296875,1.0970927476882935,1.2440905570983887,133.99600219726562,4133.52001953125
2023-04-22,,27817.5,1874.2286376953125,,,,
2023-04-23,,27591.384765625,1862.06201171875,,,,
2023-04-24,92.39775085449219,27525.33984375,1842.7574462890625,1.0992271900177002,1.2449734210968018,133.96099853515625,4137.0400390625
2023-04-25,92.97312927246094,28307.59765625,1866.753662109375,1.1059499979019165,1.25,134.08399963378906,4071.6298828125
2023-04-26,92.62975311279297,28422.701171875,1866.564208984375,1.0978394746780396,1.2414803504943848,133.71099853515625,4055.989990234375
2023-04-27,92.29563903808594,29473.787109375,1908.786376953125,1.1047282218933105,1.2471472024917603,133.46499633789062,4135.35009765625
2023-04-28,92.76897430419922,29340.26171875,1892.5128173828125,1.1032048463821411,1.249750018119812,133.802001953125,4169.47998046875
